speech_id,file,year,sentence,negative,neutral,positive,compound score
speech_00073,parnell_source_00308,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in its sense of its duty in this respect up to the present time, but I feel convinced that the matter has only to be put before them to secure the opening up of most important markets in this country for those manufactures which have always existed, and for those which have been reopened anew, as a consequence of the recent exhibitions, the great exhibition in Dublin, and the other equally great one in Cork, which have been recently held .",0.026,0.749,0.225,0.9729
speech_00073,parnell_source_00311,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in its sense of duty in this respect up to the present time; but I feel convinced that the matter has only to be put before them to secure the opening up of most important markets in this country for those manufactures which have always existed, and for those which have been re opened anew as a consequence of the recent exhibitions   the great exhibition in Dublin and the other equally great one in Cork   which have been recently held.",0.026,0.749,0.225,0.9729
speech_00073,parnell_source_00313,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in its sense of its duty in this respect up to the present time, but I feel convinced that the matter has only to be put before them to secure the opening up of most important markets in this country for those manufactures which have always existed, and for those which have been reopened anew as a consequence of the recent Exhibitions   the great Exhibition in Dublin and the other equally great one in Cork   which have been held.",0.026,0.747,0.227,0.9729
speech_00073,parnell_source_00314,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in the sense of its duty in this respect up to the present time; but I feel convinced that the matter has only to be put before them to secure the opening up of the most important markets in this country for those manufactures which have always existed, and for those which have been reopened anew as a consequence of the recent Exhibitions   the great Exhibition in Dublin and the other equally great one in Cork, which have been recently held .",0.026,0.751,0.223,0.9729
speech_00073,parnell_source_00323,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in its sense of its duty in this respect up to the present time, but I feel convinced that the matter has only to be put before them to secure the opening up of the most important markets in this country for those manufactures which have always existed, and for those which have been reopened anew as a consequence of the recent exhibitions   the great exhibition in Dublin and the other equally great one in Cork   which have been recently held.",0.026,0.751,0.223,0.9729
speech_00073,parnell_source_00329,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in its sense of its duty in this respect up to the present time; but I feel convinced that the matter has only to be put before them to secure the opening up of most important markets in this country for those manufactures which have always existed, and for those which have been reopened anew, as a consequence of the recent exhibitions, the great exhibition in Dublin, and the other equally great one in Cork, which have recently been held .",0.026,0.749,0.225,0.9729
speech_00073,parnell_source_00330,1885,"I am sorry if the agricultural population has shown itself somewhat deficient in its sense of its duty in this respect up to the present time, but I feel convinced that the matter has only to be put before them to secure the opening up of most important markets in this country for those manufactures which have always existed, and for those which have been reopened as a consequence of the recent exhibitions   the great exhibition in Dublin and the other equally great one in Cork   which have been recently held.",0.026,0.747,0.227,0.9729
speech_00076,parnell_source_00326,1886,"I trust, however, in happier and quieter times, when the Irish and English nations have learnt to understand each other and are bound together only by the terms of affection and respect , that I may have a further opportunity of making your acquaintance and of admiring some of the features of this beautiful county.",0,0.655,0.345,0.9727
speech_00052,parnell_source_00266,1886,"When you are proposing a great settlement a settlement which admittedly can only succeed if cheerfully accepted by public opinion in Ireland, and all its important provisions are recognized as just and equitable is it worth while for a rich country like England, on the question of £1,000,000 one way or the other, to drive too hard a bargain?",0.019,0.611,0.369,0.9726
speech_00052,parnell_source_00267,1886,"When you are proposing a great settlement which undoubtedly can only succeed if it is cheerfully accepted by public opinion in Ireland if all its important provisions are recognised as just and equitable, is it worth while on the part of a rich country like England to drive too hard a bargain?",0.021,0.576,0.403,0.9726
speech_00052,parnell_source_00269,1886,"When you are proposing a great settlement, which admittedly can only succeed if it is cheerfully accepted by public opinion in Ireland, if all its important provisions are recognised as just and equitable, is it worth while, on the part of a rich country like England, to drive too hard a bargain?",0.021,0.576,0.403,0.9726
speech_00052,parnell_source_00270,1886,"When you are proposing a great settlement which undoubtedly can only succeed if it is cheerfully accepted by public opinion in Ireland if all its important provisions are recognised as just and equitable, is it worth while, on the part of a rich country like England, to drive too hard a bargain?",0.021,0.576,0.403,0.9726
speech_00052,parnell_source_00271,1886,"When you are proposing a great settlement which admittedly can only succeed if it is cheerfully accepted by public opinion in Ireland, if all its important provisions are recognised as just and equitable, is it worth while on the part of a rich country like England to drive too hard a bargain?",0.021,0.576,0.403,0.9726
speech_00052,parnell_source_00272,1886,"When you are proposing a great settlement, which admittedly can only succeed if it is cheerfully accepted by public opinion in Ireland, if all its important provisions are recognised as just and equitable, is it worth while on the part of a rich country like England to drive too hard a bargain?",0.021,0.576,0.403,0.9726
speech_00052,parnell_source_00281,1886,"When you are proposing a great settlement   a settlement which admittedly can only succeed if it is cheerfully accepted by public opinion in Ireland, if all its important provisions are recognised as just and equitable   is it worth while on the part of a rich country like England to drive too hard a bargain?",0.021,0.582,0.397,0.9726
speech_00073,parnell_source_00320,1885,"Addressing a meeting of the electors of Cork last night, Mr. Parnell, M.P., referred to the extension of the franchise in Ireland, and said that he looked forward to the future with a light heart, for he was convinced that the 500,000 Irishmen who within a year must vote for the men of their choice would be as true to Ireland   even truer   than those who had gone before them, and he was assured that they might safely be trusted with the exercise of the great and important privilege, unequalled in its magnitude in the history of any nation.",0,0.775,0.225,0.9726
speech_00053,parnell_source_00282,1886,"But the Nationalists in accepting this Bill go, as I think, under an honourable understanding not to abuse those powers; and we pledge ourselves in that respect for the Irish people, as far as we can pledge ourselves, not to abuse those powers, and to devote our energies and our influence which we may have with the Irish people to prevent those powers from being abused.",0.051,0.637,0.312,0.9718
speech_00053,parnell_source_00303,1886,"But the Nationalists in accepting this Bill go, as I think, under an honourable understanding not to abuse those powers , and we pledge ourselves in that respect for the Irish people, as far as we can pledge ourselves , not to abuse those powers  and to devote our energies and our influence which we may have with the Irish people to prevent those powers from being abused.",0.051,0.637,0.312,0.9718
"speech_00049, speech_00050, speech_00051",parnell_source_00240,1886,"... Mr. Parnell, M.P., who was loudly cheered said   Fellow countrymen, I feel very proud and very happy in being able to address so magnificent and vast a meeting of the people of Galway, but the circumstances under which this meeting has been called give me greater encouragement and greater hope than any that I ever felt since I first entered public life .",0,0.681,0.319,0.9716
speech_00072,parnell_source_00306,1880,"It is a strange thing that they bring their religion to other countries , and it is also a remarkable fact that these are Catholic Nations, enjoying a good system of land tenure , but Mr. Froude admits my case, in a still more remarkable manner; he says, ""if we had been more faithful in our stewardship, Ireland would have been as wealthy and prosperous as the sister island, and not at the mercy of a potato blight.",0.045,0.671,0.284,0.9712
"speech_00049, speech_00050",parnell_source_00249,1886,"I did not know of Mr Lynch's claims, and having recommended him I was in my position bound not to recede one hair's breadth   not one jot , but to carry through the recommendation to the bitter end, and to test whether the people of Galway and the people of Ireland had the confidence in me which I believe they have, and which I believe the result of to day's election will show that during my eleven years since my entering into public life I have never led the Irish people astray, never led them into any crooked paths; when courage was required and was necessary for the interests of the Irish nation I have shown it ; and when moderation was necessary, and where temperate judgment for the nation was necessary, I have had the courage to show it, and I shall never lead the party or the nation astray until we have gained for you the right to lead and govern yourselves .",0.037,0.799,0.164,0.9711
speech_00047,parnell_source_00230,1876,"It appears 138 members of Parliament signed the memorial presented to the Prime Minister praying for the release, but it is pretty clear, from the strong disavowals of so many honourable members, that they did so sign under an entire misapprehension of the real object to be accomplished, and that considerable pressure must have been brought to bear upon them   as Mr. Brooks  courageously stated, that had he known or even expected the statements which Messrs.",0.061,0.671,0.268,0.971
speech_00078,parnell_source_00349,1885,"At the commencement of my remarks I said that I believed we were near victory, I believe that we are near victory provided we can fulfil two conditions, and these two conditions are   firstly, that we can keep our people at home and abroad united and free from quarrels and dissensions amongst themselves ; that this united people should be true to the great traditions which they have inherited, and as it rests in their power to strike to day what we believe will be a successful and a last blow for Ireland , that they will not shrink from striking hard and striking home .",0.042,0.74,0.218,0.9709
speech_00053,parnell_source_00302,1886,"But if the doctrine of indirect responsibility had been employed against the noble lord the member for South Paddington and the right hon gentleman the member for West Birmingham, the former might have pleaded for an excuse that as he, believes in nobody and in nothing except himself , so he could not have expected any great importance to be attached to his declarations ; while the right hon gentleman the member for West Birmingham might have said   and said very truly   that he was absolutely ignorant of all the circumstances of Ireland, his celebrated projected visit to that country last autumn not having come off , and that consequently he really did not know what would come of his language.",0.022,0.806,0.172,0.9705
speech_00053,parnell_source_00302,1886,"Of course there are sections amongst Irish Nationalists just as there are sections in the Great Conservative party , but so far as it was possible for a nation to accept a measure cheerfully, freely, gratefully, and without reserve, I say that the Irish people have shown that they accepted this measure .",0,0.645,0.355,0.9705
speech_00052,parnell_source_00266,1886,"We regard the fact that during the last five or six months we have succeeded in entirely gaining the sympathy of the two great American political Parties, the Democratic and the Republican, as an omen of great hope and the dawn of the future of our cause.",0,0.64,0.36,0.97
speech_00089,parnell_source_00344,1880,"But because they had a better land system there, they were able to support themselves without emigration in the greatest prosperity with an area one and one quarter less than the area of Ireland, and a population one third greater.",0,0.617,0.383,0.97
speech_00073,parnell_source_00315,1885,"I am convinced that the 500,000 or 600,000 Irishmen who within a year must vote for the men of their choice will be as true, even truer to Ireland, than those who have gone before them, and that we may safely trust to them the great and important privilege   unequalled in the history of any nation   which will shortly be placed on them.",0,0.698,0.302,0.9678
"speech_00049, speech_00050, speech_00051",parnell_source_00240,1886,"But he has given me a promise   I guarantee to you that he will keep this promise   that for the future he will sit in opposition with the Irish Party; therefore my last objection to him as a candidate has disappeared, and not only my last objection, but the last possible objection that could be raised against him by any man as a candidate has disappeared, and you may now freely accept him with every confidence that he has fulfilled all the conditions which are required as preliminaries from the other members of the Irish Party, and that he will act in the same way as they will act .",0.091,0.679,0.23,0.967
speech_00084,parnell_source_00338,1880,"The preamble to the edict for the regulation of the relations between landlord and tenant recites as follows: ""We, Frederick William, by the grace of God king of Prussia, having convinced ourselves by personal experience in our own domains, and by that of many lords of manors, of the great advantages which have secured, both to the lord and to the peasant by the transformation of peasant holdings into proprietaries, and of the ameliorated condition of our subjects thereby on the basis of a fair indemnity, and having consulted in regard to this weighty matter, experienced farmers and skilled persons of all kinds belonging to our province, and to the ranks of our subjects, ordain and decree as follows, among other things, that all tenants of holdings, whatever, the size of the holdings, shall, by the present edict, become the proprietors of such holdings after paying to the landlord the indemnity affixed to this edict.""",0,0.862,0.138,0.9652
speech_00074,parnell_source_00324,1885,"The contest will be a very difficult one , but I believe that, favoured by fortunate circumstances and by the energetic help of the Irish people of Liverpool, it is just possible for me to win.",0.039,0.55,0.411,0.965
speech_00053,parnell_source_00302,1886,"No, sir, we can not give up a single Irishman    we want the energy, the patriotism, the talent, and works of every Irishman  to make this great experiment   to ensure that this great experiment shall be successful .",0.042,0.533,0.425,0.9645
speech_00053,parnell_source_00282,1886,"But with reference to the argument that has been used against us, that I am precluded from accepting this solution as a final solution because I have claimed the restitution of Grattan's Parliament, I would beg to say that I consider there are practical advantages connected with the proposed statutory Body, limited and subordinate to this Imperial Parliament as it undoubtedly will be, which will render it much more useful and advantageous to the Irish people than was Grattan's Parliament, and that the Statutory Body which the right hon. Gentleman proposes to constitute is much more likely to be a final settlement than Grattan's Parliament.",0.047,0.748,0.205,0.9643
speech_00053,parnell_source_00303,1886,"But with reference to the argument that has been used against us, that I am precluded from accepting this solution as a final solution because I have claimed the restitution of Grattan's Parliament, I would beg to say that I consider there are practical advantages connected with the proposed statutory body, limited and subordinate to this Imperial Parliament as it undoubtedly will be, which will render it much more useful and advantageous to the Irish people than was Grattan's Parliament, and that the statutory body which the right hon. gentleman proposes to constitute is much more likely to be a final settlement than Grattan's Parliament.",0.047,0.748,0.205,0.9643
speech_00004,parnell_source_00022,1875,"At a later hour in the evening they addressed an assembly of five of six thousand persons in the streets of the town, all of whom manifested the greatest joy at the glorious triumph which had been won for the cause of Home Rule.",0,0.667,0.333,0.9638
speech_00011,parnell_source_00039,1875,"MR. PARNELL asked the Secretary of State for War, Whether the Under Secretary of State for War, in reply to a Memorial from the Catholic Union of Ireland, relative to the attendance of Catholic Soldiers at Mass on certain specified days, stated that the Right honourable Gentleman had no objection to officers commanding giving facilities to the troops of any denomination to attend Divine Service if asked to do so by their clergy, but that he did not consider that commanding officers should take the initiative in such a matter; whether the case of those men of the Meath Militia quartered in barracks, who were confined to barracks during the hours of one Divine Service, and engaged in the usual parades during the hours of the other Divine Services, of the denomination to which they belonged, after a request had been made by the Chaplain that they might be allowed to attend one service, is contrary to the intention of the Eight honourable Gentleman as conveyed in the above mentioned reply; and, whether the Eight honourable Gentleman would think it expedient to draw the attention of officers commanding Irish Militia regiments to that mentioned reply in order to prevent future misunderstanding?",0.052,0.808,0.14,0.9631
speech_00092,parnell_source_00347,1885,"Whenever we have called upon him we have never found him wanting, and we have been taught by the experience of the last five years to look upon Mr. Corbet as a man who will be always at his post when duty requires his presence , as a man who will be always be foremost in maintaining the union and the integrity of the party and the voice of its majority; and we have every confidence that in the future, in the new Parliament that is to come, in the great crisis which we feel confident will result in the obtaining of our liberties, he will continue to add to these constant proofs of his merits and his fidelity which he has already placed before us .",0.029,0.797,0.174,0.9628
speech_00052,parnell_source_00274,1886,"When you are proposing a great settlement which can only succeed if freely accepted by public opinion in Ireland, is it worth while for a rich country like England on the question of £1,000,000, one way or the other to drive too hard a bargain?",0.025,0.584,0.391,0.9623
speech_00077,parnell_source_00327,1886,"While she does not seek to interfere in any matter which can imperil the Imperial Crown and dynasty of England, she is determined, as generations of Irishmen have been before and as generations of Irishmen, should need arise, will be again, to have this justice conceded to her; and with that determination she confidently appeals to the generosity and to the spirit of justice of the English people.",0.03,0.686,0.284,0.9614
speech_00076,parnell_source_00326,1886,"... Mr. Parnell, who was loudly cheered on rising to reply, said,   I thank you most heartily for the kindness and general good order with which you have listened to me, and I believe that this meeting will have good fruit and good result.",0,0.633,0.367,0.9601
speech_00082,parnell_source_00336,1880,"Just as your forefathers at Lexington are entitled to your thanks for what they did, so I say the people of Connemara are entitled to our thanks and to the thanks of Ireland for the stand, and, I thank God, successful stand, that they have made on the present occasion.",0,0.653,0.347,0.9601
speech_00091,parnell_source_00346,1885,"Well, gentlemen, I am not much given to boasting ; and I should be very unwilling to assume to myself the role  of the prophet; but I am obliged, I suppose, to night to give you my candid opinion upon this matter, and it is this   that if they have not succeeded in squelshing  us during the last five years, they are not likely to do it during the next five , unless they brace themselves up to adopt one of two alternatives, under the adoption of either one of which we should ultimately win, and perhaps win a larger and greater share than we otherwise should.",0.038,0.761,0.201,0.9598
speech_00005,parnell_source_00017,1875,"He asked the House to regard Ireland as anxious to defend England when her hour of trial came; and he trusted the day might come when England might see that her strength lay in a truly independent, a truly free, and a truly self supporting Irish nation.",0.034,0.608,0.358,0.9595
"speech_00049, speech_00050, speech_00051",parnell_source_00240,1886,"When courage was required, when it was necessary for the interests of the nation I have shown it , and when moderation was required, when moderation was necessary and temperate judgment for the interests of the nation I had courage to show it , and I never will lead the party or the nation astray  until we have gained for you the right to lead and to govern yourselves .",0,0.712,0.288,0.9595
speech_00050,parnell_source_00251,1892,"When courage was required, when it was necessary for the interests of the nation, I have shown it; and when moderation was required, when moderation was necessary, and temperate judgement for the interests of the nation, I had courage to show it, and I never will lead the party or the nation astray until we have gained for you the right to lead yourselves.",0,0.701,0.299,0.9595
speech_00065,parnell_source_00295,1880,"It was quite impossible to hope that they could be constructed without this system, for the West Coast of Ireland was far removed from civilization; it had no resident landlords, and the people were left in a sort of wild state to subsist in the best way they could, without anyone to look after their interests; and it would be of the greatest advantage to the teeming population if a grant such as he proposed were made to get on with some of the 70 piers and harbours which had been recommended by the Fishery Inspectors.",0.02,0.776,0.204,0.9593
"speech_00049, speech_00050, speech_00051",parnell_source_00240,1886,"I am not leading them crooked to day, and I am confident, and the magnificent declaration of confidence in yesterday's Freeman  supplemented to day by the adhesion of 70 members of the Irish Party, gathered by telegrams from all parts of the country shows that I retain the confidence of my colleagues  unabated and untouched.",0,0.707,0.293,0.959
speech_00078,parnell_source_00349,1885,"In the case of the Scotland Division we are convinced we have ample strength enough to beat both the two great English political parties , and it has been decided by my colleagues, with my full consent and approbation, to offer for your acceptance to night Mr. Thomas Power O'Connor as a candidate .",0,0.686,0.314,0.959
speech_00004,parnell_source_00024,1875,"This much I can promise you   that I will faithfully abide by them, and that I will use your high trust to advance, to the best of my ability, the great cause of Self Government for Ireland.",0,0.596,0.404,0.9584
speech_00049,parnell_source_00238,1886,"They recognised in him a lecturer of great power, a man of deeds rather than of words, a man of great talent, silent, but observant   a man who he wished would more often come to the front and add to the laurels he had won in Mexico, Cuba, and in the Soudan such forensic triumphs as he  knew he had the power of achieving.",0,0.74,0.26,0.9584
speech_00052,parnell_source_00281,1886,"But whatever may be the fate of the measure, I believe the cause of Ireland   of Irish autonomy   will gain enormously in a way it never could have otherwise gained by the genius of the right honourable gentleman.",0,0.654,0.346,0.9578
